id,score
1,1
2,1
3,1
4,0
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,0
17,1
18,1
19,0
20,1
21,1
22,1
23,0
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,0
35,1
36,1
37,1
38,1
39,0
40,0
41,1
42,0
43,1
44,0
45,1
46,0
47,1
48,1
49,1
50,0
51,1
52,0
53,1
54,0
55,0
56,0
57,1
58,0
59,0
60,0
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,0
70,0
71,0
72,1
73,0
74,0
75,1
76,0
77,0
78,0
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,0
88,1
89,0
90,0
91,1
92,0
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,0
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,0
118,1
119,1
120,1
121,1
122,0
123,0
124,0
125,0
126,0
127,1
128,1
129,0
130,1
131,0
132,1
133,1
134,0
135,0
136,1
137,0
138,0
139,0
140,1
141,1
142,1
143,0
144,1
145,0
146,1
147,1
148,0
149,1
150,1
151,0
152,1
153,0
154,0
155,1
156,1
157,1
158,0
159,1
160,1
161,1
162,1
163,1
164,0
165,0
166,0
167,0
168,1
169,1
170,1
171,1
172,1
173,0
174,1
175,0
176,0
177,1
178,0
179,1
180,1
181,1
182,1
183,1
184,1
185,0
186,1
187,0
188,0
189,1
190,1
191,0
192,1
193,1
194,1
195,1
196,1
197,1
198,0
199,0
200,1
201,1
202,1
203,0
204,1
205,1
206,1
207,1
208,0
209,0
210,1
211,1
212,1
213,0
214,0
215,0
216,0
217,1
218,1
219,1
220,1
221,1
222,0
223,0
224,1
225,0
226,0
227,0
228,1
229,0
230,0
231,1
232,1
233,0
234,1
235,1
236,1
237,0
238,0
239,1
240,1
241,1
242,1
243,0
244,1
245,1
246,0
247,1
248,1
249,0
250,1
251,1
252,1
253,0
254,1
255,1
256,0
257,0
258,1
259,1
260,0
261,0
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,0
276,1
277,0
278,1
279,0
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,0
288,1
289,1
290,0
291,1
292,1
293,1
294,0
295,1
296,1
297,0
298,0
299,0
300,0
301,1
302,0
303,0
304,1
305,0
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,0
317,1
318,1
319,1
320,0
321,1
322,0
323,1
324,1
325,1
326,1
327,0
328,1
329,1
330,1
331,1
332,0
333,1
334,0
335,1
336,1
337,0
338,1
339,1
340,1
341,1
342,0
343,1
344,1
345,0
346,1
347,1
348,0
349,1
350,0
351,0
352,1
353,1
354,0
355,1
356,0
357,1
358,1
359,1
360,1
361,1
362,1
363,0
364,1
365,1
366,0
367,1
368,1
369,1
370,1
371,1
372,1
373,0
374,1
375,1
376,0
377,1
378,1
379,1
380,0
381,1
382,0
383,1
384,1
385,1
386,1
387,1
388,0
389,1
390,1
391,1
392,1
393,1
394,0
395,0
396,0
397,0
398,1
399,1
400,1
401,0
402,1
403,1
404,0
405,1
406,1
407,0
408,1
409,1
410,1
411,0
412,0
413,0
414,0
415,0
416,1
417,1
418,0
419,1
420,0
421,0
422,1
423,0
424,1
425,0
426,1
427,0
428,1
429,1
430,0
431,0
432,1
433,0
434,0
435,0
436,1
437,1
438,1
439,1
440,0
441,1
442,1
443,1
444,1
445,0
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,0
458,1
459,1
460,1
461,0
462,0
463,1
464,1
465,0
466,1
467,1
468,0
469,1
470,0
471,0
472,1
473,0
474,0
475,1
476,0
477,1
478,0
479,1
480,0
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,0
490,1
491,1
492,1
493,0
494,1
495,0
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,0
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,0
520,0
521,0
522,0
523,1
524,1
525,1
526,1
527,0
528,1
529,1
530,0
531,1
532,1
533,1
534,1
535,0
536,1
537,1
538,1
539,0
540,1
541,0
542,1
543,0
544,0
545,0
546,0
547,1
548,1
549,1
550,0
551,1
552,1
553,1
554,1
555,1
556,0
557,0
558,1
559,0
560,0
561,1
562,1
563,1
564,0
565,0
566,0
567,1
568,0
569,1
570,0
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,0
580,0
581,0
582,0
583,1
584,1
585,0
586,1
587,0
588,1
589,1
590,1
591,1
592,0
593,0
594,0
595,0
596,0
597,0
598,1
599,0
600,0
601,0
602,1
